"Id","SalePrice"
1461,109589.149371312
1462,145207.294286698
1463,194886.335481957
1464,192746.611186611
1465,164072.124738708
1466,197101.704367854
1467,155471.239954571
1468,180669.709582203
1469,146142.01960063
1470,108364.074689708
1471,169255.040061361
1472,117423.549505367
1473,126210.803188825
1474,179876.712840607
1475,104298.929017195
1476,251923.200876688
1477,187571.873484318
1478,200743.870037786
1479,211102.467485743
1480,279233.745868771
1481,245417.248375233
1482,172226.722072553
1483,168078.630758118
1484,151524.17519746
1485,172585.526096571
1486,203688.967770167
1487,262695.528683514
1488,191973.978909108
1489,158358.937462006
1490,180933.73175861
1491,197441.643296736
1492,119539.067594205
1493,183215.501147649
1494,253077.873096264
1495,243467.608691311
1496,182689.954380164
1497,199222.492743999
1498,156684.805885331
1499,156684.805885331
1500,160026.003756832
1501,184788.531993045
1502,145332.76271355
1503,152084.101088335
1504,213248.491715687
1505,183040.386117097
1506,211681.100425862
1507,264209.108623594
1508,251599.338349134
1509,169090.371786877
1510,137560.274091012
1511,135722.142348042
1512,184614.016479417
1513,207200.718727733
1514,203269.288997388
1515,261633.93993136
1516,188611.359464684
1517,129167.114225486
1518,192746.611186611
1519,181988.280942115
1520,130390.913732455
1521,135481.651487991
1522,164293.526744268
1523,145830.71147612
1524,123892.134862156
1525,116146.883081808
1526,117508.462410938
1527,117253.649794244
1528,136922.046844159
1529,132986.450051852
1530,150319.088514213
1531,183451.63939111
1532,113059.610951529
1533,146608.484077911
1534,139071.333099649
1535,168208.942872857
1536,138594.870640374
1537,103942.453279002
1538,189475.846325412
1539,286462.614255927
1540,245884.237591924
1541,156044.692523846
1542,166661.96687721
1543,199096.31874405
1544,97896.0444167802
1545,129493.913707512
1546,134678.775356518
1547,154754.362558271
1548,151930.948671701
1549,121890.775793803
1550,186877.59843544
1551,124224.432604767
1552,191756.890700851
1553,162806.283155322
1554,144817.113265888
1555,198799.061583652
1556,136922.046844159
1557,150088.257849053
1558,111589.95680756
1559,186283.56375478
1560,199222.492743999
1561,211928.891897628
1562,109239.690575504
1563,106780.766947874
1564,148623.006923812
1565,153764.723166358
1566,157028.535520012
1567,97072.515315595
1568,224094.571522665
1569,193261.010156994
1570,124722.212330838
1571,160640.045730881
1572,132743.985548956
1573,158913.637032503
1574,165715.83944522
1575,153230.781960376
1576,209445.712399577
1577,158730.0024991
1578,178905.586861817
1579,115549.178501497
1580,200237.259411309
1581,120717.217491731
1582,107837.341932531
1583,223852.267370871
1584,233464.501426798
1585,105365.441602422
1586,86189.8391084134
1587,117847.868446898
1588,134678.775356518
1589,128512.518360491
1590,126540.644576289
1591,115121.486918204
1592,165533.528094113
1593,106074.050586681
1594,320129.204718928
1595,170628.459764463
1596,203543.584392321
1597,239706.620331613
1598,196846.595864448
1599,121388.379326187
1600,155845.048109175
1601,76345.7379211158
1602,127445.937901646
1603,114435.851713391
1604,196335.98072859
1605,218820.791209353
1606,164529.371910147
1607,266339.546701264
1608,170067.559963459
1609,157987.523539855
1610,178817.19797681
1611,140101.431929081
1612,177577.907042093
1613,169887.134685233
1614,113834.567366942
1615,126210.803188825
1616,126210.803188825
1617,126210.803188825
1618,107661.535145526
1619,104031.618105197
1620,349465.616287863
1621,140891.753540505
1622,181900.495542704
1623,209528.674702026
1624,209030.703062782
1625,108364.074689708
1626,177932.34304383
1627,193089.604884429
1628,247981.309921561
1629,194800.9277783
1630,266246.946907055
1631,181812.693156522
1632,203772.861920716
1633,173302.238891786
1634,195483.770010011
1635,185137.364995259
1636,155751.629795878
1637,220286.279469291
1638,229638.997559491
1639,198460.056183958
1640,277531.171142113
1641,201502.826671489
1642,216205.706787979
1643,215385.892853385
1644,210191.89992009
1645,194202.652795712
1646,148774.627220198
1647,156031.817430691
1648,133390.164315201
1649,122726.264593792
1650,106780.766947874
1651,106780.766947874
1652,117423.549505367
1653,117423.549505367
1654,187918.624835814
1655,142923.25218311
1656,179876.712840607
1657,187918.624835814
1658,179876.712840607
1659,104298.929017195
1660,128512.518360491
1661,330581.772386763
1662,278789.998027083
1663,227235.045660315
1664,277605.283076912
1665,203940.608700091
1666,207783.686856861
1667,266096.210753937
1668,204527.287524468
1669,186443.151106009
1670,209943.288906619
1671,205949.280373371
1672,260950.577486132
1673,298267.281640265
1674,192918.138593552
1675,171148.506002175
1676,166444.282747612
1677,171148.506002175
1678,263982.293595865
1679,241511.690045486
1680,216205.706787979
1681,179876.712840607
1682,201923.974327261
1683,175356.210722628
1684,179876.712840607
1685,182865.20389994
1686,158544.513499169
1687,172585.526096571
1688,194971.728183498
1689,191888.053970118
1690,182777.587560144
1691,169706.632558504
1692,225948.7639195
1693,172585.526096571
1694,184962.981460928
1695,177577.907042093
1696,250225.831808752
1697,177577.907042093
1698,278568.017909219
1699,230677.578988078
1700,230517.919401224
1701,244014.136826603
1702,200575.056834677
1703,197356.680574112
1704,201081.325858359
1705,177755.16045734
1706,263831.040167622
1707,178109.454928593
1708,175088.850094815
1709,186356.212949563
1710,179170.648563736
1711,208864.606833783
1712,212259.099984226
1713,197696.443585382
1714,188351.703691963
1715,196931.646750986
1716,136442.592848724
1717,130228.007207876
1718,131610.125814708
1719,210274.744062328
1720,184788.531993045
1721,128020.693160075
1722,128020.693160075
1723,148584.254511025
1724,179347.269059456
1725,235367.845222211
1726,203437.20215173
1727,168802.964022968
1728,187224.864970666
1729,174910.518724063
1730,216041.843816245
1731,116828.467928913
1732,106780.766947874
1733,106780.766947874
1734,139522.277213015
1735,110982.548352168
1736,110982.548352168
1737,226753.032886042
1738,205531.456824381
1739,301722.113278121
1740,203101.32021963
1741,139467.885782038
1742,184788.531993045
1743,179523.819855269
1744,200406.186654696
1745,176004.833536648
1746,264511.407301129
1747,230996.765354725
1748,275081.00295319
1749,169164.663611439
1750,136282.624761296
1751,213995.45837674
1752,106780.766947874
1753,163401.831542767
1754,230517.919401224
1755,167715.994663049
1756,109414.475903239
1757,106780.766947874
1758,147772.052991337
1759,203269.288997388
1760,143957.227070191
1761,142309.875820407
1762,236791.311977722
1763,163996.511048247
1764,115121.486918204
1765,172452.303215317
1766,179612.069154305
1767,189562.207991507
1768,130472.336401716
1769,145207.294286698
1770,136383.47719485
1771,135160.730516983
1772,149317.791593275
1773,135000.155454584
1774,214729.140077271
1775,123725.851968889
1776,127856.583102485
1777,100440.618497954
1778,121136.868379924
1779,135802.268006001
1780,160340.336783923
1781,135000.155454584
1782,100350.188364371
1783,170608.376172958
1784,121807.100767436
1785,125053.62337429
1786,255227.634231529
1787,200068.275017749
1788,82211.2078082594
1789,105187.990950048
1790,94214.1286302299
1791,267902.794811659
1792,149163.507173996
1793,121890.775793803
1794,114350.03160851
1795,127281.531282889
1796,130309.470675496
1797,129575.56191212
1798,121974.427799525
1799,94862.5790029339
